,총인구2018,총인구2019,총인구2020,MZ인구2018,MZ인구2019,MZ인구2020,일인가구2018,일인가구2019,일인가구2020,전체가구2018,전체가구2019,전체가구2020,미니주택2018,미니주택2019,미니주택2020,큰주택2018,큰주택2019,큰주택2020
강남구,507775,509152,508085,181422,178256,175052,62727,66073,68999,493298,493492,494125,19656,20442,21598,162356,161455,165040
강동구,414198,415244,444377,140644,138656,147191,42126,45188,50316,402479,403443,432784,17349,17051,17636,111134,111671,126835
강북구,309111,303851,299512,99635,95980,92794,40872,42791,45685,299415,294143,290437,20507,20365,20096,75834,77983,78853
강서구,578503,574057,564816,212416,208603,203577,73011,79371,86172,563772,559359,551415,33420,35689,38396,178677,181947,183987
관악구,510265,507792,502603,220957,220592,219113,112733,119863,129233,475013,472796,470469,38220,38745,38945,101631,103046,104405
광진구,362277,359734,353934,145975,143807,140041,56337,58714,62301,335353,331747,328366,22582,22717,23397,68142,71854,73047
구로구,433750,435543,435417,145496,143809,141678,44151,47740,50971,384827,386239,386742,24118,25126,25798,111896,117152,120699
금천구,249324,249725,249386,85151,84770,84878,34564,37778,42334,219601,219896,220503,15562,17484,20248,55486,57457,59462
노원구,534057,522430,511923,182052,173976,166213,51280,53365,56438,516758,504967,497776,10122,9917,9880,179052,179997,181898
도봉구,328211,323512,315933,104568,101536,96269,30848,32653,34884,320556,315032,308747,12528,12750,12761,95894,97072,97796
동대문구,358116,355068,351019,137965,136219,133353,55593,58152,60925,331344,327897,325598,27676,27781,28204,79660,84195,84818
동작구,397955,400331,392730,153877,154511,148800,56872,60088,64101,373622,374478,371853,18007,17820,17788,96053,99314,99998
마포구,368145,369294,365579,145884,146938,144088,56837,59248,63172,350007,348755,349648,25937,26466,27447,104812,105853,109092
서대문구,318850,319356,317173,124619,124455,120177,44795,46449,49863,293559,291958,296599,18574,18422,18683,80546,83713,87503
서초구,409462,404925,401703,140231,136966,132912,41137,42667,43942,397464,391520,390747,13611,14201,14014,124317,124126,126786
성동구,306777,299665,291893,116660,112577,108382,40706,41488,42585,290667,283330,277120,16649,16633,16617,75793,79174,79732
성북구,438714,445300,438806,161415,163649,158197,55136,57832,61510,413679,418403,416155,27585,26630,26250,104297,111816,114681
송파구,638131,648559,643242,229924,231113,225489,63451,68861,73694,619701,629275,626201,22341,23479,24764,189679,198832,201935
양천구,445567,440318,439037,145151,140227,137775,34304,36345,39436,435369,429819,429197,14150,14075,14265,129001,131261,135212
영등포구,395266,394059,403589,141877,141354,145599,53477,58214,64000,341561,341509,352157,35985,38211,40281,84144,86043,91918
용산구,226918,227159,225856,84741,84447,82847,34240,35148,36881,205347,204196,207039,20310,20638,20675,56140,57247,59769
은평구,462526,461500,463068,153827,152262,151646,48888,52814,57853,449471,447693,450207,24225,24203,24842,127294,132140,134478
종로구,157945,154948,151269,61904,59571,56491,25326,24671,25983,139871,136649,135582,17674,17505,17922,32098,33098,33688
중구,129774,130940,128733,49575,49884,48171,20803,22078,22818,115016,115665,115067,11167,11321,11662,33080,34858,35398
중랑구,391642,386290,385628,133616,129216,127558,49207,52196,56605,380262,374640,374271,22721,22773,23031,84966,87560,92268
